"635","1000","500","*व>ापन और 7चार","11.00.26","Advertising & Publicity","500"
"56380","50000","51500","लघु 9नमा!ण काय!","11.00.27","Minor Works","53000"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","*वBयुत 7काWशकC तं3 7योगशाला (जार/)","11","Laboratory for Electro-Optics Systems (LEOS)",""
"3","1000","800","4यावसा9यक सेवाएं","11.00.28","Professional Services","400"
"35268","30000","30200","अ8य सं*वदागत सेवाएं","11.00.30","Other Contractual Services","32000"
"0","10","10","सामा8य अनुदान","11.00.31","Grant-in-aid - General","10"
"0","10","10","अंशदान","11.00.32","Contributions","10"
"0","10","10","छा3वृ*Nयां और वजीफे","11.00.34","Scholarships & Stipends","10"
"221","500","700","अ8य 7भार","11.00.50","Other Charges","2000"
"","","","?वPछता काय! योजना (एस.ए.पी.)","11.96","Swachhta Action Plan (SAP)",""
"0","700","500","लघु 9नमा!ण काय!","11.96.27","Minor Works","500"
"","","","ूचना 7ौBयो(cid:23)गकC","11.99","Information Technology",""
"14840","7500","11300","काया!लय 4यय","11.99.13","Office Expenses","12500"
"0","300","300"," अ8य 7भार","11.99.50","Other Charges","300"
"565501","600000","600000","जोड: *वBयुत 7काWशकC तं3 7योगशाला (Wलयोस)","","Total:Laboratory for Electro-Optics Systems (LEOS)","640000"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","सतीश धवन अंत(र) क(cid:12) K-शार (एस.डी.एस.सी.-शार)","25","Satish Dhawan Space Centre-SHAR (SDSC-SHAR)",""
"2311989","2410000","2468800","ेतन","25.00.01","Salaries","2612200"
"0","100","100","मजदूर/","25.00.02","Wages","100"
"2239","2800","2500","समयोप(र भNा","25.00.03","Overtime Allowance","3000"
"344995","350000","366200","(cid:23)च1क0सीय उपचार","25.00.06","Medical Treatment","360000"
"32199","35000","40000","ेशीय या3ा 4 यय","25.00.11","Domestic Travel Expenses","52000"
"4921","2200","2000","*वदेश या3ा 4यय","25.00.12","Foreign Travel Expenses","4500"
"614848","700000","751000","काया!लय 4यय","25.00.13","Office Expenses","700000"
"4671","25000","22000","1कराया, महसूल और कर","25.00.14","Rent, Rates & Taxes","25000"
"2199","2000","1900","7काशन","25.00.16","Publications","2100"
"83137","90000","97000","अ8य 7शास9नक 4यय","25.00.20","Other Administrative Expenses","85000"
"555999","475000","490000","स:लाई और साज सामान","25.00.21","Supplies & Materials","477100"
"48976","49000","50000","पी.ओ.एल.","25.00.24","POL","50000"
"23099","24000","25000","*व>ापन और 7चार","25.00.26","Advertising & Publicity","25000"
"399994","398000","420000","लघु 9नमा!ण काय!","25.00.27","Minor Works","420000"
"640998","530000","680400","4यावसा9यक सेवाएं","25.00.28","Professional Services","620000"
"499994","446000","500000","अ8य सं*वदागत सेवाएं","25.00.30","Other Contractual Services","500000"
"281","500","500","सामा8य अनुदान","25.00.31","Grant-in-aid - General","500"
"8628","15000","15000"," छा3वृ*Nयां और वजीफे","25.00.34","Scholarships & Stipends","15000"
"0","500","500","अ8य 7भार - भा(रत","25.00.50","Other Charges  - Charged","500"
"12400","20400","20600","? वीकृ त","","Voted","10000"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","सतीश धवन अंत(र) क(cid:12) K-शार  (जार/)","25","Satish Dhawan Space Centre-SHAR (SDSC-SHAR)",""
"","","","?वPछता काय! योजना (एस.ए.पी.)","25.96","Swachhta Action Plan (SAP)",""
"8499","10000","8000","लघु 9नमा!ण काय!","25.96.27","Minor Works","8000"
"","","","ूचना 7ौBयो(cid:23)गकC","25.99","Information Technology",""
"39997","27500","39000"," काया!लय 4यय","25.99.13","Office Expenses","30000"
"39791","37000","50000","","25.99.50","Other Charges","40000"
"5679854","5650000","6050500"," जोड: सतीश धवन अंत(र) क(cid:12) K-शार","","Total:Satish Dhawan Space Centre-SHAR (SDSC-SHAR)","6040000"
"0","500","500","भा(रत","","Charged","500"
"5679854","5649500","6050000","? वीकृ त","","Voted","6039500"
"","","","इसरो दूरWम9त, अनुवत!न तथा आदेश","26","ISRO Telemetry, Tracking & Command Network (ISTRAC)",""
"712528","780000","740000","ेतन","26.00.01","Salaries","800000"
"0","200","200","मजदूर/","26.00.02","Wages","200"
"6","100","100","समयोप(र भNा","26.00.03","Overtime Allowance","100"
"38830","42000","45000","(cid:23)च1क0सीय उपचार","26.00.06","Medical Treatment","43000"
"17123","20000","20000","ेशीय या3ा 4 यय","26.00.11","Domestic Travel Expenses","20000"
"15658","17500","22500","*वदेश या3ा 4यय","26.00.12","Foreign Travel Expenses","29000"
"154954","160000","187650","","26.00.13","Office Expenses","150000"
"3384","3700","3700","1कराया, महसूल और कर","26.00.14","Rent, Rates & Taxes","3700"
"934","700","700","7काशन","26.00.16","Publications","700"
"3757","800","2800"," अ8य 7शास9नक 4यय","26.00.20","Other Administrative Expenses","2600"
"44881","26000","47100","स:लाई और साज सामान","26.00.21","Supplies & Materials","29700"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","इसरो दरWम9त, अनुवत!न तथा आदेश","26","ISRO Telemetry, Tracking & Command Network (ISTRAC)",""
"3869","3500","4500","पी.ओ.एल.","26.00.24","POL","4500"
"630","2000","2000","*व>ापन और 7चार","26.00.26","Advertising & Publicity","2000"
"262319","270000","290100","लघु 9नमा!ण काय!","26.00.27","Minor Works","250000"
"178561","170000","170000","4यावसा9यक सेवाएं","26.00.28","Professional Services","170000"
"413004","470000","443300"," अ8य सं*वदागत सेवाएं","26.00.30","Other Contractual Services","430000"
"478","800","800","सामा8य अनुदान","26.00.31","Grant-in-aid - General","800"
"3566","4000","4000"," छा3वृ*Nयां और वजीफे","26.00.34","Scholarships & Stipends","4000"
"0","200","200","अ8य 7भार - भा(रत","26.00.50","Other Charges  - Charged","200"
"46882","52000","2650","? वीकृ त","","Voted","2500"
"","","","?वPछता  9न(cid:7)पण योजना (एस.ए.पी.)","26.96","Swachhta Action Plan (SAP)",""
"0","3500","1000","लघु 9नमा!ण काय!","26.96.27","Minor Works","2000"
"","","","ूचना 7ौBयो(cid:23)गकC","26.99","Information Technology",""
"15660","40000","52000"," काया!लय 4यय","26.99.13","Office Expenses","40000"
"29924","33000","34900","","26.99.50","Other Charges","35000"
"1946948","2100000","2075200","जोड: इसरो दूरWम9त, अनुवत!न तथा आदेश","","Total:ISRO Telemetry, Tracking & Command Network (ISTRAC)","2020000"
"0","200","200","भा(रत","","Charged","200"
"1946948","2099800","2075000","? वीकृ त","","Voted","2019800"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","जी.एस.एल.वी. सात0 य प(रयोजना","33","GSLV Continuation Project",""
"98497","100000","85000","ेतन","33.00.01","Salaries","90000"
"26","200","200","समयोप(र भNा","33.00.03","Overtime Allowance","200"
"6709","9900","9900","ेशीय या3ा 4 यय","33.00.11","Domestic Travel Expenses","7500"
"0","0","0","*वदेश या3ा 4यय","33.00.12","Foreign Travel Expenses","3300"
"6237","6000","5000"," काया!लय 4यय","33.00.13","Office Expenses","5000"
"455192","374400","205500","स:लाई और साज सामान","33.00.21","Supplies & Materials","10000"
"31","500","500","4यावसा9यक सेवाएं","33.00.28","Professional Services","500"
"1581","3000","2000"," अ8य सं*वदागत सेवाएं","33.00.30","Other Contractual Services","2500"
"654","6000","5000"," अ8य 7भार","33.00.50","Other Charges","1000"
"568927","500000","313100"," जोड़: जी.एस.एल.वी. सात0 य प(रयोजना","","Total:GSLV Continuation Project","120000"
"","","","नौवहन उपSह 7णाल/","38","Navigational Satellite System",""
"56500","211500","191500","ेतन","38.00.01","Salaries","195500"
"3404","7500","4500","ेशीय या3ा 4 यय","38.00.11","Domestic Travel Expenses","5000"
"0","5000","200","*वदेश या3ा 4यय","38.00.12","Foreign Travel Expenses","4000"
"650","1500","5000"," काया!लय 4यय","38.00.13","Office Expenses","4000"
"529","1500","3800"," अ8य 7शास9नक 4यय","38.00.20","Other Administrative Expenses","3000"
"880","8000","5000","स:लाई और साज सामान","38.00.21","Supplies & Materials","1000"
"126","200","2000","*व>ापन और 7चार","38.00.26","Advertising & Publicity","1000"
"0","300","0","लघु 9नमा!ण काय!","38.00.27","Minor Works","0"
"208","7000","2000","4यावसा9यक सेवाएं","38.00.28","Professional Services","2000"
"5479","7000","6000"," अ8य सं*वदागत सेवाएं","38.00.30","Other Contractual Services","4490"
"30","500","0","अ8य 7भार","38.00.50","Other Charges","10"
"67806","250000","220000"," जोड़: नौवहन उपSह 7णाल/","","Total:Navigational Satellite System","220000"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","ेमी-कं डY टर 7योगशाला (एस.सी.एल.)","39","Semi-conductor Laboratory (SCL)",""
"1209956","1100000","1900000","सामा8य अनुदान","39.00.31","Grant-in-aid - General","1560000"
"1126627","860000","460000","ंजीगत प(रसंप*NयZ के  सृजन के  Wलए अनुदान","39.00.35","Grants for creation of Capital Assets","600000"
"935000","1040000","1140000","ेतन अनुदान","39.00.36","Grant-in-aid - Salaries","1000000"
"3271583","3000000","3500000"," जोड़: सेमी-कं डY टर 7योगशाला (एस.सी.एल.)","","Total:Semi-conductor Laboratory (SCL)","3160000"
"","","","समानव Wमशन पहल  / मानव अंत(र) उड़ान","43","Manned Mission Initiatives/Human Space Flight Programme (Gaganyaan)"
"0","20000","20000","ेशीय या3ा 4 यय","43.00.11","Domestic Travel Expenses","80200"
"0","10000","10000","*वदेश या3ा 4यय","43.00.12","Foreign Travel Expenses","5000"
"0","6400","6400"," काया!लय 4यय","43.00.13","Office Expenses","8000"
"0","500","500","7काशन","43.00.16","Publications","100"
"0","12500","12500"," अ8य 7शास9नक 4यय","43.00.20","Other Administrative Expenses","5000"
"25712","0","0","स:लाई और साज सामान","43.00.21","Supplies & Materials","0"
"0","100","100","*व>ापन और 7चार","43.00.26","Advertising & Publicity","100"
"0","500","500","लघु 9नमा!ण काय!","43.00.27","Minor Works","500"
"0","100","100","4यावसा9यक सेवाएं","43.00.28","Professional Services","100"
"0","1500","1500"," अ8य 7भार","43.00.50","Other Charges","1000"
"25712","51600","51600"," जोड़: समानव Wमशन पहल/ मानव अंत(र) उड़ान","","Total:Manned Mission Initiatives/Human Space Flight Programme (Gaganyaan)","100000"
"","","","भारतीय अंत(र) *व>ान एवं","44","Indian Institute of Space Science & Technolgy (IIST)"
"400000","340000","375200","सामा8य अनुदान","44.00.31","Grant-in-aid - General","380000"
"111720","150000","260000","ंजीगत प(रसंप*NयZ के  सृजन के  Wलए अनुदान","44.00.35","Grants for creation of Capital Assets","230000"
"300365","310000","264800","ेतन अनुदान","44.00.36","Grant-in-aid - Salaries","290000"
"812085","800000","900000"," जोड़: भारतीय अंत(र) *व>ान एवं","","Total:Indian Institute of Space Science & Technolgy (IIST)","900000"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","ेमी Jायोजे9नक इंजन *वकास","45","Semi Cryogenic Engine Development",""
"70000","70000","70000","ेतन","45.00.01","Salaries","70000"
